basin_name,year,drought_months,flood_months,dtf_count,ftd_count,mean_drought_intensity,mean_flood_intensity,max_drought_intensity,max_flood_intensity
嘉陵江流域,2001,3,5,1,2,3.5772321237370277,1.6071672208876453,4.278547936885928,2.325128623373172
嘉陵江流域,2002,3,4,1,2,3.5178253210164367,2.263644942268763,4.819034618926766,2.9930253204826607
嘉陵江流域,2003,1,7,1,1,1.616484686301271,1.7440722295122686,1.616484686301271,2.5715558579093614
嘉陵江流域,2004,1,3,0,0,1.826944557202415,2.6486534044345595,1.826944557202415,3.817875870350437
嘉陵江流域,2005,1,3,1,0,1.8058759749280155,1.958269894691308,1.8058759749280155,2.457655886548994
嘉陵江流域,2006,4,1,0,0,2.9631528402486174,5.418017215316314,4.5163127875018425,5.418017215316314
嘉陵江流域,2007,5,1,1,1,2.205364247125581,3.193074584296003,2.911106257146498,3.193074584296003
嘉陵江流域,2008,3,0,0,0,2.194941092391097,0.0,3.005074397722152,0.0
嘉陵江流域,2009,2,0,0,0,2.0067264685207213,0.0,2.6422541879130232,0.0
嘉陵江流域,2010,5,2,1,1,2.3130727443321017,2.0673624064153833,3.2615777236229286,2.2866860506379787
嘉陵江流域,2011,2,3,2,0,3.0695015619022374,2.661141847663539,4.241632809196982,4.338335460958141
嘉陵江流域,2012,4,1,1,0,2.4065833438790083,2.349506190027353,3.477201435670299,2.349506190027353
嘉陵江流域,2013,5,3,2,0,3.122834585815726,2.2841291393272756,4.765269379231825,2.6555148512358526
嘉陵江流域,2014,2,3,1,2,2.997294778078819,1.7574201363319286,4.047809768844623,2.869748092843003
嘉陵江流域,2015,2,3,1,1,1.6699718384817217,1.8848568714759935,2.2398820937638124,2.428646265629367
嘉陵江流域,2016,3,2,0,1,2.0029871613443446,2.1834811958283424,2.477124587432996,2.4581259309068804
嘉陵江流域,2017,3,3,2,1,2.504952486564347,2.760047892976573,3.3857199431546467,3.308374432809833
嘉陵江流域,2018,3,3,2,1,1.6774963469251103,2.321494086951168,2.0016239101272593,2.9833840868226575
嘉陵江流域,2019,0,3,0,0,0.0,2.4717942649200233,0.0,4.143170889881899
嘉陵江流域,2020,2,4,2,2,2.1128275969820742,2.2177285630322445,2.208831817476252,2.858835361695468
嘉陵江流域,2021,1,4,1,0,1.4100820181649656,2.750892552032587,1.4100820181649656,3.3905786094258716
嘉陵江流域,2022,3,2,0,1,3.003789707669382,2.422045976733812,4.423334531811219,3.6516535600883726
嘉陵江流域,2023,3,0,0,0,1.9663306806882683,0.0,2.223449846220105,0.0
汉江流域,2001,5,3,1,2,2.5287731323846083,3.087451103337824,3.2977343414871685,3.5599250230711554
汉江流域,2002,2,4,1,2,1.7273012185598646,2.7900529147157878,1.822247392603,3.6056220779343624
汉江流域,2003,0,9,0,0,0.0,1.850916169016538,0.0,2.716755996403083
汉江流域,2004,2,3,1,1,2.5117636047556795,1.5879353858737666,3.144184733605261,2.0731690582725304
汉江流域,2005,1,2,1,0,2.5241572750342836,2.6825725041876565,2.5241572750342836,3.1977760145287633
汉江流域,2006,4,1,0,1,2.8342141498237883,2.2354961881393596,4.303575196523443,2.2354961881393596
汉江流域,2007,5,2,1,2,2.318048616659151,2.930116936306009,3.196981247900232,3.924937409841162
汉江流域,2008,4,1,1,0,2.166374636766898,1.608262246810122,2.590691734850646,1.608262246810122
汉江流域,2009,2,3,1,0,2.0505825487667177,1.8303631896135897,2.1659595332611303,2.1856296988190125
汉江流域,2010,2,3,0,0,3.0516696855307135,2.598253304911616,3.073627849566211,3.4963571791818975
