event_id,basin_id,basin_name,event_type,start_date,end_date,duration_months,peak_intensity,mean_intensity,total_intensity,lag_month,from_event_type,to_event_type,start_year,start_month,end_year,end_month
EVT00001,jialing,嘉陵江流域,FTD,2001-01-01,2001-03-01,3,5.455316627460145,5.455316627460145,5.455316627460145,2,flood_or_wet,drought,2001,1,2001,3
EVT00002,jialing,嘉陵江流域,flood_or_wet,2001-01-01,2001-02-01,2,2.325128623373172,1.6731867541932917,3.3463735083865833,,,,2001,1,2001,2
EVT00003,jialing,嘉陵江流域,FTD,2001-02-01,2001-03-01,2,4.151432889100384,4.151432889100384,4.151432889100384,1,flood_or_wet,drought,2001,2,2001,3
EVT00004,jialing,嘉陵江流域,drought,2001-03-01,2001-03-01,1,3.130188004086973,3.130188004086973,3.130188004086973,,,,2001,3,2001,3
EVT00005,jialing,嘉陵江流域,drought,2001-05-01,2001-05-01,1,4.278547936885928,4.278547936885928,4.278547936885928,,,,2001,5,2001,5
EVT00006,jialing,嘉陵江流域,DTF,2001-07-01,2001-09-01,3,5.145623423011792,5.145623423011792,5.145623423011792,2,drought,flood_or_wet,2001,7,2001,9
EVT00007,jialing,嘉陵江流域,drought,2001-07-01,2001-07-01,1,3.322960430238182,3.322960430238182,3.322960430238182,,,,2001,7,2001,7
EVT00008,jialing,嘉陵江流域,flood_or_wet,2001-09-01,2001-10-01,2,1.82266299277361,1.4470796312389873,2.8941592624779746,,,,2001,9,2001,10
EVT00009,jialing,嘉陵江流域,flood_or_wet,2001-12-01,2001-12-01,1,1.7953033335736692,1.7953033335736692,1.7953033335736692,,,,2001,12,2001,12
EVT00010,jialing,嘉陵江流域,flood_or_wet,2002-02-01,2002-02-01,1,1.4102574934627767,1.4102574934627767,1.4102574934627767,,,,2002,2,2002,2
EVT00011,jialing,嘉陵江流域,FTD,2002-05-01,2002-07-01,3,6.186637504134565,6.186637504134565,6.186637504134565,2,flood_or_wet,drought,2002,5,2002,7
