basin_name,event_type,min_response_month,min_mean_ndvi_z,max_recovery_month,max_mean_ndvi_z,response_lag_interpretation
嘉陵江流域,DTF,4,-0.12124678431611358,3,0.4738794751051665,NDVI 低值出现在 t+4 至 t+6，存在滞后抑制迹象；恢复迹象不明显
嘉陵江流域,FTD,3,-0.3419847473034676,1,0.21646251642917963,NDVI 低值出现在中期窗口，可能存在短期至中期响应；恢复迹象不明显
嘉陵江流域,drought_hydro,4,-0.11062218146390884,3,0.09838115965156945,NDVI 低值出现在 t+4 至 t+6，存在滞后抑制迹象；恢复迹象不明显
嘉陵江流域,flood_hydro,0,-0.12372802520285223,1,0.11339670618869198,NDVI 低值出现在 t0 至 t+2，表现为快速响应；随后出现一定恢复迹象
汉江流域,DTF,6,-0.327485362454098,3,0.4685892282408516,NDVI 低值出现在 t+4 至 t+6，存在滞后抑制迹象；恢复迹象不明显
汉江流域,FTD,6,-0.6731931481440415,1,-0.15907133019155495,NDVI 低值出现在 t+4 至 t+6，存在滞后抑制迹象；恢复迹象不明显
汉江流域,drought_hydro,2,-0.28208703976899413,5,0.2835515524625,NDVI 低值出现在 t0 至 t+2，表现为快速响应；随后出现一定恢复迹象
汉江流域,flood_hydro,6,-0.14593578670002608,2,0.029743368469253524,NDVI 低值出现在 t+4 至 t+6，存在滞后抑制迹象；恢复迹象不明显
洞庭湖流域,DTF,6,-0.32810358611055523,0,0.4105592350764964,NDVI 低值出现在 t+4 至 t+6，存在滞后抑制迹象；恢复迹象不明显
洞庭湖流域,FTD,0,-0.5252986019935133,1,0.17122231663512258,NDVI 低值出现在 t0 至 t+2，表现为快速响应；随后出现一定恢复迹象
洞庭湖流域,drought_hydro,5,-0.16654998609577612,4,0.11634154536038921,NDVI 低值出现在 t+4 至 t+6，存在滞后抑制迹象；恢复迹象不明显
洞庭湖流域,flood_hydro,0,-0.36710674882611216,1,0.24811153444333803,NDVI 低值出现在 t0 至 t+2，表现为快速响应；随后出现一定恢复迹象
鄱阳湖流域,DTF,4,-0.4770864145808488,0,0.31089150638654683,NDVI 低值出现在 t+4 至 t+6，存在滞后抑制迹象；恢复迹象不明显
鄱阳湖流域,FTD,0,-0.7847931989508089,4,0.40608381563803153,NDVI 低值出现在 t0 至 t+2，表现为快速响应；随后出现一定恢复迹象
鄱阳湖流域,drought_hydro,1,-0.20428331911521605,3,0.0889539349458965,NDVI 低值出现在 t0 至 t+2，表现为快速响应；随后出现一定恢复迹象
鄱阳湖流域,flood_hydro,0,-0.3080373498436535,1,0.3363135612971836,NDVI 低值出现在 t0 至 t+2，表现为快速响应；随后出现一定恢复迹象
